ID_REF,GSM6827,GSM6828,GSM6832,GSM6833,GSM6834,GSM6835,GSM6836
X15088_at,221.0,101.0,286.0,20.0,318.0,262.0,293.0
X15183_at,11651.0,20217.0,13028.0,16817.0,15990.0,19921.0,25457.0
X15187_at,1439.0,1679.0,856.0,2183.0,943.0,1962.0,1056.0
X15217_at,20.0,20.0,93.0,20.0,20.0,20.0,20.0
X15218_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
X15306_rna1_at,12263.0,1710.0,2241.0,20.0,4254.0,2649.0,2787.0
X15331_s_at,3864.0,3371.0,1260.0,20.0,1962.0,1547.0,61.0
X15341_at,33438.0,21558.0,16845.0,23214.0,20675.0,27377.0,21332.0
X15357_at,699.0,20.0,20.0,133.0,865.0,20.0,540.0
X15376_at,146.0,20.0,150.0,93.0,372.0,176.0,896.0
X15393_rna1_at,7452.0,2419.0,1311.0,1700.0,2117.0,1226.0,3132.0
X15414_at,15302.0,8943.0,7297.0,10161.0,4095.0,8999.0,4244.0
X15422_at,2364.0,102.0,20.0,20.0,199.0,20.0,115.0
X15525_rna1_at,3206.0,2317.0,1401.0,2168.0,1543.0,1665.0,1669.0
X15573_at,20.0,20.0,20.0,20.0,20.0,20.0,47.0
X15673_s_at,4878.0,2418.0,947.0,1520.0,2331.0,1575.0,1898.0
X15675_at,63.0,20.0,20.0,20.0,44.0,20.0,20.0
X15722_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
X15729_s_at,1206.0,4456.0,2204.0,2375.0,2427.0,3345.0,1336.0
X15822_at,15020.0,6090.0,11825.0,10450.0,10110.0,14012.0,28740.0
X15875_at,20.0,20.0,20.0,465.0,283.0,20.0,162.0
X15880_at,7943.0,995.0,2857.0,4985.0,4063.0,5388.0,5372.0
X15882_at,1791.0,435.0,1420.0,1887.0,1918.0,1220.0,1568.0
X15940_at,94913.0,41195.0,40821.0,45793.0,48524.0,55336.0,60055.0
X15943_at,20.0,98.0,46.0,20.0,20.0,20.0,20.0
X15949_at,20.0,208.0,178.0,809.0,14.0,674.0,349.0
X15954_rna1_s_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
X16064_at,59157.0,53789.0,41658.0,51456.0,40218.0,55977.0,66875.0
X16105_at,737.0,1108.0,1986.0,107.0,1189.0,201.0,268.0
X16135_at,12831.0,11502.0,3591.0,4376.0,6318.0,5003.0,12064.0
X16260_s_at,20.0,20.0,20.0,778.0,20.0,20.0,20.0
X16281_at,1226.0,20.0,20.0,20.0,20.0,20.0,20.0
X16282_at,20.0,20.0,100.0,20.0,20.0,20.0,20.0
X16316_at,6964.0,5893.0,1291.0,2505.0,1693.0,2261.0,2662.0
X16323_at,20.0,110.0,114.0,135.0,96.0,309.0,5.0
X16354_at,314.0,281.0,110.0,330.0,425.0,263.0,157.0
X16396_at,358.0,403.0,971.0,198.0,515.0,1202.0,527.0
X16416_at,4085.0,3047.0,1180.0,2486.0,4150.0,4004.0,4486.0
X16504_s_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
X16546_at,20.0,816.0,194.0,294.0,932.0,698.0,454.0
X16560_at,9764.0,10497.0,9038.0,8322.0,8830.0,9939.0,10357.0
X16609_s_at,20.0,20.0,20.0,20.0,20.0,20.0,370.0
X16660_cds1_s_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
X16662_at,20.0,20.0,111.0,20.0,20.0,20.0,20.0
X16663_at,3604.0,2651.0,1864.0,3807.0,934.0,4040.0,1604.0
X16665_at,20.0,1914.0,1582.0,1131.0,3574.0,2266.0,2414.0
X16666_s_at,403.0,2834.0,20.0,839.0,20.0,20.0,20.0
X16667_at,155.0,628.0,42.0,706.0,209.0,20.0,745.0
X16699_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
X16706_at,20.0,20.0,36.0,166.0,20.0,20.0,657.0
X16707_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
X16832_at,11220.0,3134.0,6934.0,15061.0,4285.0,9724.0,4241.0
X16866_at,1804.0,20.0,39.0,20.0,20.0,20.0,20.0
X16901_at,20.0,37.0,26.0,111.0,50.0,20.0,119.0
X16983_at,20.0,185.0,93.0,106.0,223.0,20.0,390.0
X17025_at,20.0,20.0,3023.0,1107.0,20.0,584.0,20.0
X17042_at,4402.0,378.0,5377.0,4618.0,4403.0,12222.0,3246.0
X17059_s_at,1695.0,156.0,21.0,444.0,379.0,111.0,54.0
X17093_at,3098.0,6260.0,11389.0,11863.0,10848.0,12450.0,12133.0
X17094_at,250.0,1525.0,1017.0,492.0,1830.0,359.0,571.0
X17098_at,772.0,20.0,20.0,20.0,111.0,217.0,20.0
X17206_at,74010.0,25678.0,33531.0,50506.0,27292.0,59445.0,47252.0
X17254_at,256.0,20.0,54.0,860.0,20.0,20.0,20.0
X17360_rna1_at,20.0,1181.0,616.0,493.0,164.0,1106.0,681.0
X17567_s_at,210.0,1773.0,3141.0,4267.0,4523.0,5788.0,2607.0
X17576_at,20.0,437.0,79.0,96.0,388.0,102.0,20.0
X17620_at,1534.0,2559.0,2363.0,3371.0,3693.0,2865.0,4839.0
X17622_at,447.0,232.0,156.0,270.0,20.0,20.0,322.0
X17644_s_at,656.0,20.0,37.0,20.0,20.0,20.0,20.0
X17648_at,236.0,345.0,460.0,630.0,225.0,316.0,347.0
X17651_at,20.0,1484.0,1101.0,751.0,686.0,20.0,20.0
X51345_at,5560.0,1961.0,3538.0,8833.0,5927.0,5949.0,5173.0
X51362_s_at,20.0,5486.0,618.0,820.0,1281.0,1046.0,588.0
X51405_at,2824.0,5332.0,3767.0,2425.0,1297.0,4585.0,2613.0
X51408_at,2241.0,2481.0,1730.0,1677.0,2016.0,1614.0,1431.0
X51417_at,20.0,20.0,20.0,279.0,20.0,20.0,20.0
X51420_at,1633.0,572.0,36.0,20.0,420.0,160.0,128.0
X51435_s_at,6342.0,919.0,360.0,522.0,1054.0,552.0,975.0
X51441_at,2387.0,41.0,87.0,172.0,99.0,20.0,20.0
X51441_s_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
X51466_at,26058.0,19542.0,15540.0,28149.0,12084.0,25320.0,40727.0
X51521_at,8171.0,9776.0,7743.0,9337.0,3420.0,10463.0,15201.0
X51602_at,20.0,20.0,255.0,20.0,20.0,20.0,20.0
X51630_at,531.0,20.0,200.0,69.0,20.0,20.0,20.0
X51688_at,664.0,20.0,20.0,20.0,910.0,20.0,20.0
X51698_s_at,20.0,20.0,20.0,20.0,843.0,20.0,20.0
X51730_at,20.0,129.0,20.0,38.0,20.0,73.0,207.0
X51755_cds5_s_at,20.0,20.0,20.0,20.0,271.0,20.0,83.0
X51757_at,55.0,948.0,20.0,377.0,20.0,20.0,17.0
X51801_at,20.0,20.0,354.0,40.0,20.0,11.0,432.0
X51804_at,1403.0,3892.0,1122.0,2045.0,1987.0,627.0,1304.0
X51823_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
X51823_s_at,20.0,20.0,20.0,97.0,161.0,20.0,20.0
X51952_xpt1_at,1323.0,20.0,20.0,20.0,173.0,582.0,488.0
X51953_at,20.0,114.0,147.0,20.0,20.0,20.0,20.0
X51954_at,884.0,20.0,32.0,20.0,20.0,20.0,20.0
X51956_rna1_at,6539.0,2004.0,1853.0,1781.0,3028.0,3446.0,2861.0
X51985_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
X52001_at,530.0,20.0,22.0,15.0,20.0,10.0,20.0
X52003_at,1929.0,20.0,437.0,744.0,20.0,496.0,3.0
X52005_at,263.0,804.0,72.0,0.0,148.0,274.0,687.0
X52008_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
X52009_s_at,20.0,20.0,18.0,20.0,194.0,26.0,128.0
X52011_at,2696.0,448.0,31.0,391.0,34.0,266.0,0.0
X52022_at,20.0,20.0,20.0,12.0,20.0,38.0,350.0
X52056_at,20.0,20.0,325.0,1330.0,20.0,156.0,20.0
X52075_rna1_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
X52142_at,20.0,17.0,122.0,417.0,201.0,297.0,423.0
X52151_at,245.0,1775.0,979.0,2259.0,1375.0,1628.0,2828.0
X52192_at,3676.0,2895.0,813.0,1257.0,1742.0,1843.0,3559.0
X52213_s_at,1481.0,20.0,114.0,285.0,20.0,20.0,20.0
X52221_at,852.0,20.0,20.0,20.0,640.0,20.0,20.0
X52228_at,20.0,20.0,20.0,944.0,431.0,20.0,848.0
X52282_s_at,20.0,420.0,20.0,45.0,76.0,6.0,20.0
X52425_at,784.0,3254.0,2607.0,1954.0,1187.0,2790.0,1908.0
X52426_s_at,20.0,1542.0,20.0,20.0,20.0,20.0,20.0
X52479_at,1594.0,1084.0,312.0,519.0,20.0,180.0,206.0
X52520_at,1139.0,335.0,113.0,132.0,20.0,252.0,197.0
X52541_at,579.0,414.0,70.0,404.0,266.0,243.0,409.0
X52599_at,779.0,20.0,208.0,614.0,20.0,306.0,384.0
X52611_s_at,3961.0,1430.0,1056.0,103.0,873.0,1498.0,2353.0
X52638_at,3838.0,2900.0,664.0,1247.0,874.0,1223.0,1131.0
X52730_rna1_at,9418.0,5843.0,1871.0,1869.0,1668.0,3896.0,2811.0
X52773_at,1566.0,20.0,20.0,20.0,20.0,20.0,20.0
X52851_rna1_at,21589.0,18549.0,18145.0,17534.0,19520.0,27065.0,21253.0
X52882_at,1359.0,1761.0,1170.0,1659.0,1623.0,1935.0,941.0
X52889_at,1494.0,2802.0,1526.0,2150.0,1746.0,869.0,2338.0
X52896_s_at,3497.0,267.0,901.0,470.0,2109.0,664.0,227.0
X52943_at,20.0,455.0,188.0,803.0,1129.0,690.0,718.0
X52947_at,617.0,5924.0,4395.0,4715.0,3415.0,5220.0,7255.0
X52966_at,20802.0,8525.0,8945.0,16149.0,8176.0,18588.0,9884.0
X52979_rna1_s_at,20.0,1069.0,923.0,1080.0,870.0,1883.0,1977.0
X53002_s_at,20.0,18.0,1140.0,1393.0,675.0,1450.0,793.0
X53065_f_at,20.0,1070.0,594.0,213.0,619.0,20.0,137.0
X53296_s_at,20.0,737.0,74.0,175.0,113.0,1382.0,753.0
X53331_at,6900.0,2694.0,4281.0,11948.0,3451.0,6974.0,2311.0
X53390_s_at,680.0,4281.0,2304.0,3506.0,2877.0,2917.0,8809.0
X53414_at,6984.0,1422.0,2072.0,1201.0,20.0,1521.0,1799.0
X53416_at,3859.0,1681.0,2297.0,6132.0,1328.0,3129.0,1134.0
X53586_rna1_at,2342.0,89.0,352.0,695.0,236.0,323.0,794.0
X53587_at,20.0,2527.0,2813.0,4691.0,787.0,4717.0,5348.0
X53595_s_at,20.0,262.0,276.0,20.0,20.0,36.0,530.0
X53683_at,20.0,788.0,131.0,258.0,1260.0,379.0,580.0
X53742_at,20.0,20.0,20.0,20.0,20.0,20.0,598.0
X53777_at,13969.0,8041.0,13988.0,18297.0,10605.0,20087.0,28024.0
X53793_at,209.0,565.0,269.0,555.0,742.0,344.0,160.0
X53795_at,20.0,20.0,20.0,20.0,39.0,20.0,1005.0
X53800_s_at,20.0,470.0,147.0,393.0,205.0,158.0,20.0
X53961_at,20.0,2153.0,20.0,5445.0,20.0,1344.0,20.0
X54131_at,20.0,20.0,20.0,397.0,20.0,256.0,610.0
X54150_at,20.0,20.0,23.0,20.0,202.0,77.0,20.0
X54162_at,95.0,20.0,336.0,343.0,20.0,2076.0,452.0
X54199_s_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
X54232_at,4165.0,7202.0,2217.0,5038.0,1172.0,3473.0,5331.0
