ID_REF,GSM6826,GSM6829,GSM6830,GSM6831
D21260_at,8087.0,5209.0,5801.0,11165.0
D21261_at,16733.0,32366.0,27132.0,13139.0
D21262_at,1584.0,43.0,220.0,20.0
D21267_at,6272.0,939.0,7163.0,22823.0
D21337_at,107.0,503.0,162.0,553.0
D21851_at,1086.0,1544.0,1441.0,1266.0
D21852_at,1179.0,1053.0,20.0,514.0
D21853_at,2956.0,1984.0,4031.0,3055.0
D21878_at,20.0,20.0,20.0,20.0
D23660_at,30818.0,22600.0,58243.0,41010.0
D23662_at,7846.0,12322.0,9155.0,12341.0
D23673_at,17529.0,20498.0,17391.0,9844.0
D25215_at,20.0,20.0,20.0,228.0
D25216_at,13357.0,9843.0,2831.0,9613.0
D25217_at,8537.0,11498.0,4539.0,4545.0
D25218_at,1275.0,1780.0,534.0,758.0
D25248_at,2159.0,3747.0,1083.0,985.0
D25274_at,22812.0,15062.0,16424.0,15617.0
D25278_at,409.0,20.0,20.0,1389.0
D25303_at,2196.0,5683.0,277.0,661.0
D25304_at,772.0,733.0,2566.0,20.0
D25328_at,477.0,20.0,989.0,2439.0
D25538_at,1071.0,1290.0,20.0,766.0
D25539_at,422.0,984.0,20.0,1306.0
D25547_at,1384.0,630.0,1285.0,1468.0
D26018_at,20.0,20.0,20.0,20.0
D26067_at,632.0,18.0,377.0,770.0
D26068_at,16693.0,14626.0,15985.0,11317.0
D26069_at,671.0,796.0,433.0,561.0
D26070_at,308.0,362.0,20.0,502.0
D26129_at,12073.0,7289.0,12680.0,15951.0
D26135_at,20.0,20.0,20.0,20.0
D26155_s_at,20.0,428.0,20.0,192.0
D26156_s_at,3873.0,2855.0,1489.0,3813.0
D26308_at,4459.0,3699.0,8087.0,5818.0
D26350_at,20.0,20.0,20.0,20.0
D26361_at,472.0,1152.0,334.0,420.0
D26362_at,8242.0,10517.0,4944.0,3531.0
D26443_at,5505.0,5688.0,4599.0,3536.0
D26528_at,866.0,1622.0,427.0,1209.0
D26535_s_at,628.0,733.0,907.0,2472.0
D26561_cds1_at,20.0,20.0,20.0,318.0
D26561_cds2_at,803.0,2707.0,922.0,172.0
D26561_cds3_at,55.0,283.0,20.0,20.0
D26579_at,1370.0,3533.0,1442.0,1072.0
D26598_at,6510.0,7755.0,6684.0,5736.0
D26599_at,5760.0,4798.0,7189.0,7114.0
D26600_at,6011.0,2088.0,5573.0,6097.0
D28114_at,27919.0,40565.0,23450.0,14738.0
D28118_at,2315.0,4326.0,1559.0,1554.0
D28124_at,10740.0,13528.0,15602.0,11003.0
D28137_at,3464.0,2589.0,4176.0,1467.0
D28235_s_at,20.0,20.0,568.0,20.0
D28364_at,224.0,804.0,20.0,403.0
D28383_at,20.0,20.0,20.0,20.0
D28416_at,3914.0,5596.0,4225.0,3385.0
D28423_at,20.0,20.0,20.0,486.0
D28473_s_at,485.0,607.0,1417.0,2027.0
D28476_at,3238.0,3545.0,4023.0,3493.0
D28483_at,1205.0,528.0,87.0,291.0
D28532_at,1728.0,2700.0,1869.0,20.0
D28539_s_at,20.0,79.0,65.0,20.0
D28588_at,1132.0,2535.0,1442.0,623.0
D28589_at,20.0,20.0,20.0,1000.0
D28791_at,48.0,290.0,325.0,395.0
D28915_at,3402.0,2740.0,2640.0,1386.0
D29012_at,7994.0,12499.0,14786.0,12390.0
D29013_at,2309.0,4072.0,3372.0,4084.0
D29640_s_at,56.0,20.0,626.0,461.0
D29641_at,344.0,20.0,20.0,621.0
D29642_at,100.0,20.0,20.0,20.0
D29643_at,1502.0,1033.0,20.0,456.0
D29675_at,462.0,861.0,405.0,1555.0
D29675_s_at,1937.0,2760.0,2827.0,1421.0
D29677_at,789.0,20.0,20.0,20.0
D29805_at,1541.0,2087.0,927.0,20.0
D29810_at,322.0,559.0,823.0,231.0
D29833_at,60.0,20.0,20.0,345.0
D29954_at,5265.0,8660.0,4610.0,4791.0
D29956_at,617.0,160.0,385.0,911.0
D29958_at,20.0,20.0,20.0,20.0
D29963_at,7064.0,14681.0,10470.0,6539.0
D29992_at,445.0,20.0,20.0,20.0
D30036_at,1352.0,2228.0,1146.0,2310.0
D30037_at,141.0,20.0,20.0,731.0
D30655_at,14054.0,5412.0,18284.0,25883.0
D30715_xpt5_s_at,1090.0,1010.0,2904.0,1290.0
D30742_at,20.0,8.0,20.0,389.0
D30755_at,2487.0,4266.0,20.0,20.0
D30756_at,2940.0,2443.0,1350.0,2179.0
D30758_at,2650.0,6419.0,20.0,20.0
D31628_s_at,20.0,20.0,20.0,20.0
D31716_at,1431.0,2494.0,637.0,1721.0
D31762_at,937.0,20.0,1345.0,20.0
